name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Mikel Arteta,Arsenal,es,34,M(C),183,64,0(9),162,-,-,1,-,0.1,87.1,0.9,-,0.9,0.8,0.9,-,0.9,0.2,0.1,1,0.1,-,0.4,-,0.2,0.2,14.7,-,0.8,0.1
Gabriel Paulista,Arsenal,br,25,D(C),185,72,18(3),1762,1,-,4,1,0.5,90.2,2.4,-,2,2.9,0.4,1,5.4,0.5,0.6,-,-,0.1,0.5,-,0.3,0.4,52.9,-,1.6,-
Joel Campbell,Arsenal,cr,24,"AM(LR),FW",178,71,11(8),888,3,2,-,-,1,78.7,0.3,-,1.4,0.5,0.5,0.1,0.2,1.1,0.2,-,0.7,0.9,1.3,0.2,0.7,1.4,18,0.1,0.3,0.1
Aaron Ramsey,Arsenal,wls,25,M(CR),178,76,29(2),2624,5,4,4,-,2.2,86.1,0.9,2,2.5,1.8,1.5,-,0.6,2.1,0.4,-,1.2,1.3,1.5,0.2,2.2,2,69.5,0.4,1.9,0.2
Alex Iwobi,Arsenal,ng,20,AM(L),180,75,8(5),632,2,2,-,-,1.2,85.6,0.1,-,0.6,0.2,0.2,-,0.1,0.2,-,-,0.9,1.2,0.4,-,1.3,1.5,28.3,-,0.5,0.2
Per Mertesacker,Arsenal,de,31,D(C),198,90,24,2049,-,-,1,1,0.3,89.3,2.2,-,1.1,1.5,0.3,1.1,4.5,0.2,0.4,-,0.1,0.1,0.3,-,0.2,0.3,52,-,1.9,-
Francis Coquelin,Arsenal,fr,25,M(CL),178,74,21(5),1647,-,-,5,1,0.3,89.1,0.7,1,2.8,3,0.9,-,0.8,0.8,0.3,-,0.2,1.2,0.9,-,0.7,0.5,42.9,0.1,2.2,-
Santi Cazorla,Arsenal,es,31,M(CLR),168,66,15,1293,-,3,2,1,1.6,90.2,0.1,1,1.9,1.7,0.9,-,1,1.8,0.1,-,2.5,2.5,0.9,0.1,1.3,0.9,81.9,1,3.5,0.3
Joseph Dodoo,Leicester,eng,21,Forward,183,70,0(1),19,-,-,-,-,-,50,-,-,-,-,2,-,-,-,-,-,-,-,1,-,1,1,6,-,-,-
Ritchie de Laet,Leicester,be,27,D(LR),186,77,7(5),656,1,-,1,-,0.2,64.7,1.1,-,2.1,1.8,0.5,-,2.1,0.6,0.9,-,0.5,0.3,0.3,-,0.3,0.3,18.2,0.3,1.3,-
Shinji Okazaki,Leicester,jp,30,"AM(LR),FW",174,76,28(8),2074,5,-,1,-,1.3,74.9,1.5,1,1,0.4,0.9,-,0.2,0.6,0.1,-,0.6,0.5,1.3,0.2,1.3,1.5,15.1,-,0.1,-
Marc Albrighton,Leicester,eng,26,M(LR),175,67,34(4),2769,2,6,4,-,1.1,63.8,0.3,-,1.7,1.3,0.6,-,0.5,1.2,-,-,1.6,1.3,0.7,0.1,0.7,1,24,1.4,1.5,0.1
Yohan Benalouane,Leicester,fr,29,D(CR),180,74,0(4),66,-,-,1,-,-,28.6,0.8,-,-,1.5,0.8,-,1,-,0.5,-,-,-,-,-,-,-,3.5,-,-,-
Nathan Dyer,Leicester,eng,28,M(R),165,60,0(12),213,1,1,1,-,0.4,71.9,0.1,-,0.3,0.1,0.7,-,-,0.5,-,-,0.3,0.6,0.8,-,0.7,1.2,5.3,0.2,0.2,-
N'Golo Kanté,Leicester,fr,25,DMC,169,68,33(4),3020,1,4,3,-,0.6,81.6,1,3,4.7,4.2,1.2,-,1.5,1.6,0.3,-,0.8,1.3,0.5,-,0.7,1.2,39.2,0.1,1.7,0.1
Wes Morgan,Leicester,jm,32,D(C),185,93,38,3420,2,-,3,-,0.6,74.4,2.4,1,1.3,2.5,0.7,0.7,5.7,0.2,1.1,-,0.1,0.3,0.4,-,0.1,0.3,21.5,-,1.2,-
